application	backend	comparator	metric	quantile	doe	incumbent	incumbent_over_doe	status	caveat
image_edges	vulkan	dawn	wallMs	p50Ms	0.5609369999999956	0.5354779999999835	0.9546134414381431	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	wallMs	p95Ms	0.7139050000000111	0.7098469999999963	0.9943157703055523	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	wallMs	p99Ms	0.8895749999999794	3.343847000000011	3.7589264536436935	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	cpuMs	p50Ms	0.466	0.534	1.145922746781116	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	cpuMs	p95Ms	0.631	1.174	1.86053882725832	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	cpuMs	p99Ms	0.809	10.881	13.449938195302842	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	encode	p50Ms	0.03164999999998486	0.03704999999999359	1.1706161137444333	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	encode	p95Ms	0.06606500000000892	0.04315200000002051	0.6531749035043469	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	encode	p99Ms	0.10228200000000243	0.05739899999997533	0.5611837860031479	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	submitWait	p50Ms	0.16719499999999243	0.12615800000000377	0.7545560572984209	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	submitWait	p95Ms	0.2671929999999918	0.23249699999999507	0.8701462987428645	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	submitWait	p99Ms	0.3010569999999859	2.9337150000000065	9.744716116881998	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	readback	p50Ms	0.05922100000000796	0.05707799999998997	0.9638135120984498	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	readback	p95Ms	0.07576200000002586	0.07052299999998013	0.9308492384038971	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	dawn	readback	p99Ms	0.11850300000000402	0.35013899999998443	2.954684691526565	diagnostic	complete invocation; persistent resources; preparation and cold costs remain in raw process reports
image_edges	vulkan	wgpu	wallMs	p50Ms	0.5609369999999956	11.923845000000028	21.25701281962167	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	wallMs	p95Ms	0.7139050000000111	12.370797000000039	17.328351811515322	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	wallMs	p99Ms	0.8895749999999794	12.493918000000008	14.044816906950283	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	cpuMs	p50Ms	0.466	0.78	1.6738197424892705	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	cpuMs	p95Ms	0.631	1.099	1.7416798732171157	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	cpuMs	p99Ms	0.809	1.182	1.4610630407911	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	encode	p50Ms	0.03164999999998486	0.032882000000029166	1.0389257503963634	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	encode	p95Ms	0.06606500000000892	0.07013200000000097	1.0615605842729356	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	encode	p99Ms	0.10228200000000243	0.11100899999996727	1.0853229307206023	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	submitWait	p50Ms	0.16719499999999243	11.36122499999999	67.95194234277642	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
image_edges	vulkan	wgpu	submitWait	p95Ms	0.2671929999999918	11.455614000000025	42.87393008050502	diagnostic	Deno host/polling asymmetry; suspicious ratios; no leadership claim
